"Order (low = top)","Active (Yes/No)","Eyebrow","Headline","Description","Card Image URL (1200 x 670 px, WebP on upload)","Card Link (image + button, same link)","Button Copy (blank = no button)","CTA ID (fill = HubSpot Smart CTA, e.g. Champion)"
"3","Yes","From The Store","The DarrenDaily Journal","Capture the one idea from each morning before it slips away. The companion to your daily practice.","https://cdn.prod.website-files.com/6a66d7a6f9d116b514a13ae1/6a66e5525a1a5ea0057e22d4_dd-journal.webp","https://store.darrenhardy.com/collections/merchandise/products/darrendaily-journal","Get The Journal",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
